,filename,Category
0,clothmask-0 .png,0
1,clothmask-1.png,0
2,clothmask-103 .png,0
3,clothmask-148.png,0
4,clothmask-15 .png,0
5,clothmask-174 .png,0
6,clothmask-179.png,0
7,clothmask-203.png,0
8,clothmask-23.png,0
9,clothmask-24.png,0
10,clothmask-253.png,0
11,clothmask-259.png,0
12,clothmask-266 .png,0
13,clothmask-28 .png,0
14,clothmask-4 .png,0
15,clothmask-415.png,0
16,clothmask-416.png,0
17,clothmask-70 .png,0
18,clothmask-78 .png,0
19,clothmask-83.png,0
20,clothmask-95.png,0
21,N95-1017.png,1
22,N95-1020.png,1
23,N95-1023.png,1
24,N95-1032.png,1
25,N95-1033.png,1
26,N95-1035.png,1
27,N95-1037.png,1
28,N95-1038.png,1
29,N95-1046.png,1
30,N95-1049.png,1
31,N95-1061.png,1
32,N95-1062.png,1
33,N95-1065.png,1
34,N95-1067.png,1
35,N95-1073.png,1
36,N95-1074.png,1
37,N95-1114.png,1
38,N95-1118.png,1
39,N95-1131.png,1
40,N95-1137.png,1
41,N95-1138.png,1
42,N95-1149.png,1
43,N95-1151.png,1
44,N95-1157.png,1
45,N95_withValve-1003.png,2
46,N95_withValve-1004.png,2
47,N95_withValve-1005.png,2
48,N95_withValve-1009.png,2
49,N95_withValve-1010.png,2
50,N95_withValve-1026.png,2
51,N95_withValve-1029.png,2
52,N95_withValve-1070.png,2
53,N95_withValve-1082.png,2
54,N95_withValve-1085.png,2
55,N95_withValve-1091.png,2
56,N95_withValve-1092.png,2
57,N95_withValve-1096.png,2
58,N95_withValve-1103.png,2
59,N95_withValve-1106.png,2
60,N95_withValve-1110.png,2
61,N95_withValve-1164.png,2
62,N95_withValve-1188.png,2
63,N95_withValve-1190.png,2
64,N95_withValve-1192.png,2
65,N95_withValve-1193.png,2
66,N95_withValve-1200.png,2
67,N95_withValve-1214.png,2
68,N95_withValve-1215.png,2
69,N95_withValve-1218.png,2
70,NoMask-114 - Copy.png,3
71,NoMask-116 - Copy.png,3
72,NoMask-140 - Copy.png,3
73,NoMask-143 - Copy.png,3
74,NoMask-155 - Copy.png,3
75,NoMask-165 - Copy.png,3
76,NoMask-166 - Copy.png,3
77,NoMask-167 - Copy.png,3
78,NoMask-168 - Copy.png,3
79,NoMask-208 - Copy.png,3
80,NoMask-209 - Copy.png,3
81,NoMask-210 - Copy.png,3
82,NoMask-220 - Copy.png,3
83,NoMask-221 - Copy.png,3
84,NoMask-222 - Copy.png,3
85,NoMask-223 - Copy.png,3
86,NoMask-224 - Copy.png,3
87,NoMask-225 - Copy.png,3
88,NoMask-232 - Copy.png,3
89,NoMask-240 - Copy.png,3
90,NoMask-243 - Copy.png,3
91,NoMask-244 - Copy.png,3
92,NoMask-252 - Copy.png,3
93,NoMask-253 - Copy.png,3
94,NoMask-254 - Copy.png,3
95,NoMask-255 - Copy.png,3
96,NoMask-290 - Copy.png,3
97,NoMask-291 - Copy.png,3
98,NoMask-293 - Copy.png,3
99,NoMask-294 - Copy.png,3
100,NoMask-300 - Copy.png,3
101,NoMask-308 - Copy.png,3
102,NoMask-310 - Copy.png,3
103,NoMask-312 - Copy.png,3
104,NoMask-314 - Copy.png,3
105,NoMask-317 - Copy.png,3
106,NoMask-325 - Copy.png,3
107,NoMask-333 - Copy.png,3
108,NoMask-334 - Copy.png,3
109,NoMask-346 - Copy.png,3
110,NoMask-356 - Copy.png,3
111,NoMask-357 - Copy.png,3
112,NoMask-358 - Copy.png,3
113,NoMask-364 - Copy.png,3
114,NoMask-418 - Copy.png,3
115,NoMask-423 - Copy.png,3
116,NoMask-427 - Copy.png,3
117,NoMask-432 - Copy.png,3
118,NoMask-434 - Copy.png,3
119,NoMask-439 - Copy.png,3
120,NoMask-440 - Copy.png,3
121,NoMask-441 - Copy.png,3
122,NoMask-445 - Copy.png,3
123,NoMask-455 - Copy.png,3
124,NoMask-456 - Copy.png,3
125,NoMask-499 - Copy.png,3
126,SurgicalMask-1012 - Copy.png,4
127,SurgicalMask-1021 - Copy.png,4
128,SurgicalMask-1022 - Copy.png,4
129,SurgicalMask-1023 - Copy.png,4
130,SurgicalMask-1033 - Copy.png,4
131,SurgicalMask-1034 - Copy.png,4
132,SurgicalMask-1051 - Copy.png,4
133,SurgicalMask-1135 - Copy.png,4
134,SurgicalMask-1144 - Copy.png,4
135,SurgicalMask-1156 - Copy.png,4
136,SurgicalMask-1157 - Copy.png,4
137,SurgicalMask-1188 - Copy.png,4
138,SurgicalMask-1191 - Copy.png,4
139,SurgicalMask-1201 - Copy.png,4
140,SurgicalMask-1207 - Copy.png,4
141,SurgicalMask-1212 - Copy.png,4
142,SurgicalMask-1214 - Copy.png,4
143,SurgicalMask-1216 - Copy.png,4
144,SurgicalMask-1219 - Copy.png,4
145,SurgicalMask-1256 - Copy.png,4
146,SurgicalMask-1259 - Copy.png,4
147,SurgicalMask-1260 - Copy.png,4
148,SurgicalMask-1266 - Copy.png,4
